"country","session_rank","avg_session_duration"
UZ,242,149.75
YE,68,1201.0224719101125
TN,221,49.0
PK,14,1717.6902985074628
TW,280,976.6666666666666
PT,148,411.0
SI,331,130.0
ZA,94,2355.6029411764707
TZ,9,15523.335968379446
SD,90,97.125
RO,239,90.0
US,1637,30.0
AU,479,75.0
GM,40,4831.5
BE,273,33.0
MX,226,371.94117647058823
KM,4,4.5
GR,178,763.5
AG,84,315.5
KR,158,524.0192307692307
MG,120,468.0
ML,54,5610.69540229885
FR,73,1347.6571428571428
AL,26,261.03125
NC,98,1.0
JM,255,79.0
GF,102,184.0
FM,211,144.0
RW,67,7.0
PL,56,2099.5060240963853
US,562,4506.458333333333
SC,108,14336.333333333334
PS,162,3.5
ZM,38,11428.119047619048
PG,118,3.1666666666666665
JP,747,119.66666666666667
HN,40,1196.8045977011495
IE,157,994.5
AT,182,255.66666666666666
NI,325,309.0
BD,120,802.9
CO,205,262.3333333333333
LT,97,110.5
NO,26,430.80645161290323
IQ,73,35.0
CA,571,1822.0
BO,54,1464.2121212121212
NP,128,315.14285714285717
IN,211,1620.7777777777778
DE,74,1479.878453038674
AM,371,0.0
LB,161,1252.0
JP,1062,861.0
CR,67,328.35
EG,165,0.0
BY,246,301.0
BF,108,429.4375
GH,10,6000.403162055336
KH,38,30.0
ES,113,810.0961538461538
BM,34,810.0
GE,283,867.0
KR,516,83.0
BR,184,630.2435897435897
CY,13,372.44
IL,199,346.0
RU,87,1566.3615384615384
SA,120,321.1875
US,1279,50.0
YT,178,2.0
RO,629,1.0
TT,101,186.85714285714286
SG,295,410.0
PH,371,470.0
PE,98,4243.704918032787
RS,264,119.0
IT,107,1237.7878787878788
BJ,20,4886.7169811320755
CA,161,506.0882352941176
ET,71,4703.6
GB,301,110.75
NG,297,10.0
AZ,218,160.5
CL,432,211.0
IN,585,484.0
ME,108,519.0
AE,64,331.25925925925924
DK,38,547.5555555555555
HK,10,591.7559523809524
JP,113,779.9694397283531
MN,34,5587.0
BA,90,32840.0
HT,144,4.0
NA,118,2.0
MQ,184,747.0
UG,124,411.0
UA,291,65.0
TJ,406,0.0
TG,135,7864.25
XX,49,1210.0
US,168,691.954480796586
US,407,434.4375
VN,72,357.53125
SK,96,341.14285714285717
UA,28,2526.0105263157893
TJ,169,4301.363636363636
VE,6,3043.7623188405796
NL,88,727.3888888888889
IR,11,877.0
JP,334,520.8333333333334
MH,66,3.3333333333333335
CL,143,853.15
BG,58,633.625
NG,22,4166.8892481810835
GB,18,1498.6951530612246
CA,414,480.6666666666667
FI,167,50.0
IT,340,809.0
RS,55,651.0
PH,76,2347.7901234567903
SG,24,3447.065789473684
TT,346,64.0
TR,5,1856.143916128349
SL,86,6582.9
UY,176,521.5
VI,126,120.5
US,1472,73.0
RU,360,218.0
KZ,146,531.9090909090909
AO,88,318.3333333333333
BR,391,1078.8
KR,827,65.0
KE,8,3266.1854304635763
AU,634,75.0
ES,334,260.1666666666667
GE,36,1974.2608695652175
GH,309,0.0
GN,106,917.8076923076923
KN,70,0.0
AD,22,345.6666666666667
CR,380,1630.0
MD,58,998.8
JP,1305,99.0
AM,76,161.7
DE,373,599.5
MM,96,2589.1147540983607
IN,492,65.0
CV,55,1.25
AR,214,721.0
GG,48,225.0
LY,79,217.0
KG,28,377.4339622641509
BB,24,2484.285714285714
CI,173,6.0
LR,1,1884.2045454545455
MY,180,15.166666666666666
CO,498,356.0
BD,327,0.0
NI,122,262.4
AF,2,2761.352526439483
JP,980,183.33333333333334
QA,237,55.0
SE,12,1225.7881355932204
SN,66,19997.428571428572
RE,247,0.6666666666666666
US,781,115.8
PL,263,770.0
PA,22,3678.5691699604745
BN,96,176.0
LU,55,153.75
CZ,79,1715.7931034482758
FR,374,185.0
ML,265,1.0
GT,210,1657.5
MA,24,1684.5263157894738
KR,417,378.0
ID,203,1818.090909090909
NZ,152,278.0
DO,82,661.1
NE,2,16599.72275132275
BE,46,1004.6511627906976
CN,155,587.75
AU,224,1264.857142857143
US,1882,40.0
RO,464,89.0
ZA,353,130.0
TW,39,1379.8772563176894
SI,116,30.0
PF,32,3988.6666666666665
TH,189,387.4
WS,61,0.0
VG,18,802.4
PR,244,715.0
SB,58,38.333333333333336
AZ,134,309.3636363636364
CL,492,135.0
ET,27,99.73809523809524
CA,253,1752.4545454545455
BJ,72,162.2
IT,55,791.4566326530612
GB,369,331.0
AE,28,2172.960655737705
ME,48,365.0
IN,533,93.0
JP,45,1091.2974190905368
HK,86,709.8
DK,122,903.5
JO,183,551.0
NA,42,32836.72727272727
BA,6,378.7644230769231
UG,32,2294.186440677966
US,244,588.3917274939173
SK,259,235.0
VC,58,1.0
CR,31,3172.289156626506
BY,170,119.66666666666667
JP,1146,65.0
BF,48,1626.493670886076
CM,133,329.0
IS,1,556.156862745098
ES,45,2984.6235294117646
LV,41,925.0
GH,86,84.2
IL,155,123.75
BR,228,380.030303030303
CY,81,385.5
KR,600,138.33333333333334
RU,11,2682.9006856023507
RO,553,75.0
SA,36,407.231884057971
US,1187,55.0
SG,379,1.0
TT,57,450.0357142857143
PE,62,1076.2278481012659
PH,303,1002.25
PL,100,419.2972972972973
RW,31,1088.25
PS,254,8.0
SC,48,27.5
US,622,84.36842105263158
ZM,122,32.0
PG,42,24430.565217391304
HN,116,98.75
MK,92,280.0
JP,695,111.33333333333333
BD,36,763.9712230215828
CO,145,784.4285714285714
NI,281,90.0
GA,12,19369.71153846154
AT,234,130.0
BO,106,122.55555555555556
IQ,21,875.3363636363637
NO,70,411.7692307692308
CA,615,1311.0
LT,61,1146.4285714285713
DE,22,2108.9529220779223
AM,303,272.0
IN,143,1509.017274472169
NP,220,2.0
MM,259,5.0
UZ,174,337.2307692307692
SO,72,17500.4
TN,129,113.28571428571429
YE,24,2801.41309255079
PK,82,279.22222222222223
US,1593,125.0
SD,6,6111.347682119205
ZA,2,3565.629268292683
RO,179,643.6
TZ,85,3.4444444444444446
TW,324,207.0
SI,279,619.0
MX,190,531.3666666666667
LS,11,2.5
GM,116,0.5
AU,387,155.0
KR,194,705.2333333333333
MG,36,32355.375
GR,238,1076.0
AG,8,1730.6363636363637
FR,21,1429.5041666666666
AL,70,361.3333333333333
GY,160,165.0
ML,106,54.21052631578947
CW,61,471.5
FM,143,914.0
GF,58,788.0
JM,163,15.0
CH,167,651.0
NC,62,172.5
US,1387,70.0
CO,58,3222.336917562724
BD,143,121.41176470588235
FJ,18,1277.2125
AT,65,791.0
IE,106,939.0
EE,70,1144.5
JP,540,68.33333333333333
DE,189,399.0
IN,36,2866.8450584225902
NP,119,34.84615384615385
LK,12,11737.497536945813
BO,193,605.5
AR,286,1077.6666666666667
DZ,39,17404.428571428572
CD,116,2.5
PS,85,454.0833333333333
SC,155,5.5
US,709,261.90909090909093
PL,207,197.0
PG,129,341.0
KR,105,630.047619047619
ID,259,1351.9
GR,69,7337.75
MX,21,2331.8510664081437
CN,339,2631.0
AU,296,1631.0
FM,36,176.28
GF,145,192.5
AS,119,184.0
JM,8,4575.2959183673465
CH,12,862.1327433628319
GY,11,2579.5775862068967
FR,190,288.5625
JP,1611,110.0
ML,193,2.5
KY,39,635.0
TN,42,6029.172413793103
YE,179,10477.75
UZ,5,2497.306618263055
PR,316,335.0
TT,520,54.0
US,1682,100.0
RO,24,3275.009375
SD,173,141.5
ZA,169,349.54545454545456
PT,99,398.2
TL,62,3.0
ZW,105,127.8
US,95,807.2666787856754
TG,112,103.25
ME,155,78.0
AZ,45,453.92105263157896
CL,327,1292.0
MZ,1,5993.280504908836
CA,86,906.9403973509934
GB,474,475.0
IT,156,671.15
JO,28,1449.7421875
MQ,79,350.0
FO,48,34.0
HT,103,349.0
NA,129,0.5
JP,134,764.4226044226044
HK,253,625.0
YT,69,8.0
US,1032,101.25
SA,143,299.7
RU,160,4060.6574074074074
PE,149,622.1538461538462
PH,388,285.0
XK,36,140.75
SG,464,77.0
TT,146,294.0
CM,46,2368.2903225806454
BF,155,3697.8571428571427
OM,2,1376.842412451362
BY,1,1821.4578085642318
EG,82,4541.578947368421
CR,180,390.5
LB,86,337.5
JP,1233,69.0
IL,48,759.8793103448276
BR,79,1472.7468193384225
KW,75,503.0
KR,755,49.0
ES,134,815.2058823529412
GH,253,2.0
SE,167,1032.0
QA,70,185.33333333333334
RE,92,624.3333333333334
US,934,68.28571428571429
AR,125,330.6933333333333
MR,81,6.0
KG,183,439.0
GB,547,785.0
CI,6,6410.741564417178
AM,231,614.0
IN,327,274.77777777777777
EC,122,746.25
CV,156,54722.0
MM,203,0.375
AF,169,229.375
JP,895,163.33333333333334
EH,52,2061.0
MY,31,1159.799319727891
CO,345,99.0
NI,209,303.25
PF,139,3.0
SV,69,166.82142857142858
TH,22,1557.8355437665782
PY,17,2943.111405835544
RO,379,295.0
TW,140,626.9130434782609
SI,223,61.0
PR,95,572.9090909090909
SG,553,42.0
CZ,228,904.5
GT,121,90.84615384615384
MX,374,215.0
NE,169,9.5
CN,48,761.8850574712644
MU,103,480.0
BE,133,218.83333333333334
AU,75,597.5912408759124
KR,266,824.0
ID,96,2107.8923611111113
NZ,51,6013.40625
GR,294,214.0
BZ,31,459.6666666666667
LA,72,55.5
JP,485,123.0
BS,69,482.9
CL,36,1548.8121951219512
AZ,334,0.0
BG,145,204.6
NG,189,13240.5
HR,91,210.5
GB,185,545.5142857142857
FI,12,459.0609756097561
CA,309,510.85714285714283
TJ,2,5875.212877792378
UA,183,9626.875
US,316,490.6666666666667
SK,203,34.2
MP,69,335.0
GE,143,460.7142857142857
HU,109,617.75
GH,414,238.0
KZ,57,840.7124183006536
BR,300,991.9090909090909
AO,243,4.0
KR,912,90.0
EG,305,329.0
CR,471,2781.0
JP,1458,86.0
GN,193,1.3333333333333333
SG,179,1806.2
TT,497,195.0
RS,156,1026.0
SX,41,1246.5
PH,231,692.2307692307693
TM,52,1129.8
RU,451,190.0
UY,27,918.6326530612245
TR,174,135.45454545454547
VI,213,180.0
US,1108,63.333333333333336
SA,211,18925.0
YT,25,3.5
RU,252,306.64285714285717
PH,472,225.0
PE,201,325.6666666666667
TT,206,515.0
SG,396,0.0
MV,37,199.33333333333334
OM,94,113.0
CM,114,398.1666666666667
BF,199,3.3333333333333335
LB,10,6338.744234800839
JP,1165,24.0
EG,14,2796.3161764705883
BY,93,745.4
CR,232,195.0
KR,687,493.0
KW,23,2181.1296296296296
BR,19,2888.8650620919216
CY,166,1513.0
IL,108,736.2222222222222
KZ,262,105.0
GH,161,99.0
ES,218,761.6923076923077
CF,60,2477.0
ZW,53,212.10526315789474
SR,49,1037.7
US,3,1386.3553714216694
TJ,317,1.0
TG,44,1303.5
NU,9,154.0
ME,199,470.0
GP,13,304.65384615384613
IT,192,1086.6666666666667
CA,10,1030.1534122955443
GB,390,100.0
MZ,93,836.5
AZ,113,1928.0
CL,283,235.0
HT,59,784.0
MQ,19,641.060606060606
JO,64,390.3
DK,141,0.0
HK,161,1430.0
JP,218,672.9901960784314
BW,49,1843.5
GR,25,528.1217391304348
KR,53,767.2116991643454
ID,351,2.0
AU,372,205.0
CN,271,662.0
GM,131,795.0
MX,73,838.8638814016173
CH,80,382.6666666666667
JM,84,372.8333333333333
MS,7,1.0
AS,43,249.0
FM,120,88.55555555555556
GT,326,0.0
ML,157,12.333333333333334
GY,87,67.28571428571429
FR,226,401.3636363636364
JP,1559,110.0
VU,13,315.0
YE,239,19.0
TN,118,184.83333333333334
TT,596,335.0
UZ,89,1400.017543859649
PT,63,371.6875
TW,435,40.0
ZA,245,0.0
RO,68,797.0
SD,241,28.0
US,1742,41.0
PK,165,165.4
TH,297,130.0
FJ,78,30.428571428571427
AT,29,619.9736842105264
MT,49,1452.8
CO,102,389.82142857142856
BD,211,57.0
JP,576,49.666666666666664
EE,26,448.14285714285717
IE,54,285.38461538461536
HN,131,1400.0
LK,80,11.0
GU,47,704.0
IN,120,1337.2533783783783
NP,43,224.26436781609195
DE,225,464.3333333333333
CA,656,706.0
BO,157,392.4
CD,40,3064.777777777778
AR,322,348.5
US,665,92.92307692307692
PS,9,1619.5984919886898
PL,147,931.5833333333334
PG,221,0.0
WF,20,3.0
HU,49,2097.0337078651687
GE,211,613.0
ES,441,245.0
AU,653,228.0
MP,25,1105.0
KR,972,65.0
BR,368,226.0
AO,175,223.0
KZ,101,252.88372093023256
JP,1518,100.0
BT,47,158.5
GQ,7,18.6
CR,395,385.0
JE,4,98.66666666666667
GN,157,1.5
TT,429,245.0
SG,239,116.25
PH,187,243.84
RS,192,373.6666666666667
RU,415,270.0
TM,104,510.0
VI,137,121.5
US,1335,105.0
UY,71,770.0
TR,242,100.0
SL,161,1.0
BS,25,1404.6896551724137
JP,441,175.0
CG,54,2.375
NL,175,625.0
MW,47,82.25
IT,419,801.0
AW,3,778.972972972973
CA,361,269.0
FI,80,858.75
HR,7,660.9495967741935
GB,229,3620.875
NG,225,0.25
CL,120,592.6060606060606
AZ,274,4318.5
BG,205,320.5
ST,13,24.0
TJ,94,44.17948717948718
UA,235,13.5
SK,151,183.33333333333334
US,352,487.803738317757
VN,191,0.0
SV,25,3262.790055248619
TH,74,620.6027397260274
TW,208,648.8
SI,131,40.0
PY,77,49.421052631578945
RO,295,118.0
US,1965,40.0
PR,3,1283.999245852187
TC,4,172.13333333333333
TN,277,1872.0
GT,37,1646.2329749103942
FR,385,10.0
CZ,184,772.0
BN,151,77.5
AU,23,1778.5435435435436
MU,59,471.44444444444446
CN,108,622.25
BE,217,18.0
MX,298,393.5
NE,245,8.0
LA,20,1014.8795180722891
DO,165,22.4
BZ,67,1.0
KR,342,801.7142857142857
ID,60,4679.092307692307
NZ,111,943.2
SE,251,761.0
QA,26,11141.23076923077
US,1018,66.0
CI,90,42.31111111111111
MR,13,2.9285714285714284
AR,33,2515.9126853377265
EC,38,372.26119402985074
IN,283,2180.733333333333
MM,151,51.5625
AM,187,178.0
DE,386,267.5
JP,803,109.0
NI,141,123.75
CO,261,65.0
MY,67,481.9491525423729
NL,75,500.88
IR,24,100.0
JP,349,814.578947368421
MH,81,352.5
IT,327,705.5
GB,1,1743.2661130881772
NG,5,8814.973212121213
CA,397,199.66666666666666
FI,180,661.0
CL,156,322.8
BG,41,646.8863636363636
SK,115,547.45
US,388,404.5974025974026
VN,91,912.030303030303
UA,15,1928.667145938174
TJ,186,60.8
VE,21,2453.873786407767
KR,808,55.0
DJ,99,1.5
AO,75,13302.285714285714
BR,404,75.0
KZ,129,956.0625
GH,294,1.0
ES,349,677.4
GE,55,409.18918918918916
KE,27,116.67567567567568
AU,617,135.0
KN,85,204.0
GN,121,13.588235294117647
JP,1290,90.0
MD,41,345.3125
AD,5,693.8461538461538
CR,367,426.0
PH,95,665.7766990291262
RS,36,853.3076923076923
PE,334,65.0
TT,329,249.0
SG,11,2436.702786377709
VI,109,512.0
US,1491,95.0
TR,22,3457.2195828505214
SL,69,2847.064516129032
UY,163,413.5
RU,379,154.5
TM,140,855.0
SE,31,662.4074074074074
US,798,74.0
SN,81,4669.1578947368425
RE,228,3.0
PA,5,1549.6603888213851
PL,276,669.0
CV,36,3.857142857142857
MM,115,115.14285714285714
IN,511,64.0
AM,95,198.5
DE,358,810.5
BB,11,430.53846153846155
LY,92,247.54545454545453
KG,15,749.0254777070064
CI,190,36.5
AR,197,669.2777777777778
GG,35,926.0
NI,105,363.25
CO,481,721.0
GL,109,2.0
BD,340,0.0
LR,18,10679.777777777777
MY,167,216.42857142857142
JP,967,188.33333333333334
AF,17,3707.6609336609336
TW,52,760.2185792349727
SI,103,610.5
ZA,370,175.0
RO,451,64.0
US,1865,40.0
TH,174,795.0
PF,51,16.727272727272727
SB,41,53.0
VG,1,435.60714285714283
PR,231,452.0
LU,36,491.0
BN,115,296.6666666666667
MA,11,1205.9473684210527
GT,193,1.0
CZ,92,750.5
FR,357,80.0
DO,65,440.5625
KR,434,81.33333333333333
ID,216,661.95
NZ,139,541.0
AU,243,649.0
BE,61,1073.8620689655172
CN,136,330.8181818181818
NE,17,6390.446202531645
UG,51,135.1818181818182
SK,272,285.0
VC,41,1.0
US,231,618.2923387096774
IT,36,2695.2509135200976
ET,8,3190.5114942528735
CA,238,4230.384615384615
BJ,91,100.625
NG,358,1.5
GB,354,0.0
AZ,149,123.125
IN,518,78.0
ME,35,1363.1818181818182
AE,15,5752.350262697023
DK,105,1506.5
HK,69,491.8421052631579
JP,62,934.2555488902219
BA,21,535.3846153846154
NA,57,270.25
JO,164,269.6666666666667
RU,24,2819.415495955726
SA,55,359.34328358208955
US,1200,115.0
RO,570,706.0
TT,42,1585.5
SG,360,63.0
PH,316,387.5
PE,45,1393.2008639308856
JP,1129,69.5
CR,12,719.9908536585366
BY,185,1575.5
EG,234,96.0
BF,35,2110.6543209876545
CM,150,164.33333333333334
GH,69,7293.739130434783
LV,58,541.0
ES,62,1256.0864197530864
IS,18,1151.0
KR,587,455.3333333333333
BR,247,449.4782608695652
CY,66,12.333333333333334
IL,136,431.8
JP,676,121.66666666666667
MK,79,480.5
HN,103,176.625
GA,31,330.0869565217391
AT,249,1182.0
NI,266,851.0
BD,55,2670.4
CO,130,257.46153846153845
LT,46,777.4166666666666
IQ,6,849.0234009360374
NO,85,264.4
CA,628,368.0
BO,121,366.14285714285717
IN,156,2163.0440771349863
NP,207,22.5
DE,5,2477.2214343055925
AM,316,136.0
RW,12,2220.818181818182
PL,119,2289.0
US,637,82.8125
SC,35,17.307692307692307
PS,237,3.0
ZM,105,3.0
PG,57,8602.2
AU,400,95.0
BH,79,33.0
GM,103,0.5
MX,173,424.10869565217394
GR,253,573.0
AG,27,997.4285714285714
KR,209,431.8888888888889
MG,55,2462.1111111111113
ID,443,32735.5
CW,46,161.66666666666666
ML,121,12.615384615384615
FR,6,1851.4442578478233
GY,179,1.0
NC,45,221.9
AL,85,554.25
CH,180,50.0
JM,176,65.0
GF,41,706.25
FM,156,852.0
UZ,189,4966.777777777777
SO,91,2.0
YE,11,2993.364349775785
TN,146,98.8
PK,65,133.8125
TW,343,292.5
SI,260,1983.0
ZA,17,3921.743536711479
TZ,70,7.285714285714286
SD,21,2141.798319327731
RO,160,583.1666666666666
US,1578,80.0
US,726,127.7
SC,136,2.1666666666666665
PS,70,19130.285714285714
PL,220,440.6666666666667
PG,146,1.0
FJ,1,5790.521235521235
AT,82,3833.6666666666665
CO,41,3768.708542713568
BD,156,243.11111111111111
JP,527,500.0
EE,85,3917.3333333333335
IE,121,918.6
LK,31,267.475
GU,96,173.0
IN,55,3196.508940666486
NP,100,555.0909090909091
DE,174,526.0526315789474
BO,210,465.0
AR,269,423.6666666666667
DZ,52,2.5
CD,103,318.5
YE,160,141.22222222222223
TN,57,1303.48
TT,539,690.0
UZ,22,4906.027811366384
PR,303,54.0
PT,112,524.0
ZA,186,337.8
RO,11,1852.515745276417
SD,190,117.33333333333333
US,1665,65.0
PK,234,305.0
GR,86,456.5833333333333
KR,122,775.7717391304348
ID,272,52.285714285714285
AU,315,1383.5
CN,320,1526.0
MX,6,2532.9744640916724
CH,31,3013.6666666666665
JM,27,9759.857142857143
FM,55,587.625
GF,130,741.5
AS,100,1192.0
GT,265,0.5
ML,210,3.6666666666666665
GY,24,232.90740740740742
FR,173,428.35
JP,1624,81.0
ME,136,470.5
AE,164,18266.333333333332
GP,66,1.0
IT,143,612.6470588235294
CA,69,650.7863636363636
GB,457,131.0
MZ,18,19874.54098360656
AZ,62,909.7291666666666
CL,340,770.0
HT,116,1012.0
NA,146,65.0
FO,35,2573.0
JO,15,2830.568888888889
MQ,92,602.0
HK,238,1826.0
JP,149,840.640127388535
ZW,122,455.5
TL,45,87.5
US,76,953.5436159844055
TG,99,130.33333333333334
OM,17,538.075
CM,61,15425.448275862069
BF,136,13945.833333333334
LB,69,3340.777777777778
JP,1218,75.0
BY,18,1975.9618320610687
EG,65,103.66666666666667
CR,167,1956.5
KR,736,72.5
KW,88,713.8181818181819
BR,92,1308.983606557377
CY,233,0.0
IL,35,4615.734042553191
KZ,329,167.5
GH,238,1.5
ES,149,1622.642857142857
US,1051,57.5
SA,156,264.22222222222223
YT,86,26.0
RU,179,602.7536231884058
XK,55,17.0
PH,407,100.0
PE,134,213.23809523809524
TT,129,152.22222222222223
SG,451,8420.0
CI,21,10257.577067669174
MR,66,8.0
KG,164,137.0
GB,560,66.0
AR,110,2171.4736842105262
EC,105,3985.375
CV,143,12.0
IN,340,124.16666666666667
MM,216,0.3333333333333333
AM,244,428.0
JP,876,98.33333333333333
EH,39,1032.0
AF,186,984.5
NI,194,188.66666666666666
CO,330,307.0
MY,12,1559.3578544061302
SE,180,517.0
QA,85,182.85714285714286
US,949,49.166666666666664
RE,79,247.33333333333334
MA,160,646.0
GT,106,213.2
AU,88,677.8315789473684
FK,11,0.0
MU,116,317.0
CN,35,1298.4779874213837
BE,150,2949.4
MX,357,70.0
NE,186,0.0
LA,91,6306.0
BZ,12,1073.578947368421
GR,309,205.0
DO,234,2.0
KR,281,630.4
ID,115,619.0421052631579
NZ,32,1077.0603448275863
TH,5,1145.1128135166334
SV,86,1282.8666666666666
PF,152,0.5
TW,159,362.4736842105263
SI,204,271.0
PY,2,1707.5881226053639
RO,360,95.0
SG,570,55.0
PR,76,542.0333333333333
TJ,17,2369.6114081996434
UA,164,709.7
SK,216,1321.0
US,303,791.752688172043
BS,86,154.85714285714286
JP,502,31.0
IT,492,96.0
GB,170,631.7333333333333
FI,31,348.0952380952381
CA,294,285.85714285714283
AW,76,261.0
NG,174,133.44444444444446
HR,72,670.5
CL,55,606.5661375661375
AZ,349,21.0
BG,130,568.2857142857143
TT,482,70.0
SG,160,377.0
PH,244,436.8888888888889
RS,143,223.25
SX,58,97.0
RU,464,1937.0
TM,39,9650.25
VI,198,107.0
US,1400,50.0
UY,8,3196.768729641694
TR,189,617.3333333333334
SL,238,1.0
CK,1,22.5
HU,126,320.54545454545456
GE,156,623.0
MP,86,159.0
KR,899,80.0
BR,319,698.25
AO,224,5.0
KZ,42,5454.651515151515
JP,1441,15.0
BT,96,555.0
EG,290,0.0
CR,452,1143.0
GN,210,0.0
US,1813,40.0
RO,415,171.0
ZA,302,135.0
TW,104,787.5084745762712
SI,59,1454.2
PF,111,76.5
SV,161,922.0
TH,242,1218.0
PR,187,1105.75
BN,47,364.90909090909093
LU,120,892.0
FR,313,235.5
GT,157,56.0
MA,87,380.1111111111111
KR,494,437.0
ID,132,448.6929133858268
NZ,215,234.0
DO,29,2406.8376470588237
LA,172,400.0
NE,77,1516.7391304347825
BE,97,876.0
CN,212,27.0
AU,175,905.3571428571429
PG,262,3.0
QA,162,1096.0
SE,67,640.3333333333334
SN,13,5320.814016172507
RE,184,146.5
US,834,146.66666666666666
PA,89,355.85714285714283
AM,3,1241.5911458333333
DE,314,454.4
MM,47,8120.583916083916
IN,419,47.5
CV,120,17.5
EC,158,87.6
AR,153,393.4
KG,83,221.72727272727272
BB,87,488.5
LR,78,307.0
MY,251,226.0
CO,445,361.0
BD,264,515.0
NI,53,3180.768292682927
AF,77,1892.607142857143
JP,923,111.33333333333333
KZ,221,5.333333333333333
AO,23,4128.232558139535
BR,456,195.0
KR,884,85.0
DJ,63,171110.125
KE,71,295.77777777777777
AU,565,189.0
ES,257,531.4
GE,107,432.09090909090907
HU,137,194.71428571428572
GH,378,0.0
GN,37,8.807971014492754
KN,9,9742.222222222223
CR,307,215.0
MD,117,415.0
JP,1366,65.0
RS,120,978.2
PE,274,85.0
PH,3,3205.2230436981986
SG,87,578.1290322580645
TT,277,90.0
SL,25,7686.878378378378
TR,74,1338.537037037037
VI,49,752.0
SA,264,3.0
US,1423,20.0
RU,295,2350.6666666666665
NL,23,444.94262295081967
KI,63,158.0
GI,19,221.0
JP,257,894.968253968254
BS,161,474.0
MH,13,14988.227272727272
CL,192,810.4285714285714
BG,117,1183.625
NG,89,3310.7573529411766
GB,93,546.144578313253
FI,232,470.0
AW,187,1397.0
CA,465,100.0
IT,283,464.75
VN,7,1648.5030146425495
US,472,305.7027027027027
SK,47,1183.8
UA,83,13959.603174603175
TJ,230,6.25
VE,73,4.571428571428571
MX,241,416.53846153846155
KM,23,1.0
BE,258,62.0
GM,59,0.0
AU,460,35.0
BH,19,227.94117647058823
KR,141,854.0588235294117
MG,107,467.75
GR,161,443.0
AG,71,853.3333333333334
FR,90,481.8074074074074
AL,9,2778.143790849673
ML,37,3710.6065891472867
GF,117,11.5
FM,192,977.0
JM,236,496.0
SO,7,1277.1689373297004
UZ,225,213.66666666666666
TN,206,274.0
YE,87,2421.6304347826085
PK,29,1015.0375939849624
US,1654,135.0
TZ,26,9045.919540229885
SD,73,11.333333333333334
RO,252,175.0
ZA,77,10663.705263157895
TW,267,143.0
PT,135,90.5
HN,59,1497.5625
SI,344,952.0
IE,142,513.0
MK,19,739.5625
JP,760,103.33333333333333
BD,107,198.16216216216216
CO,222,42.5
NI,342,0.0
GA,67,13.666666666666666
AT,165,243.85714285714286
BO,37,2965.9044585987263
NO,9,475.8395061728395
CA,552,615.0
DE,89,647.3174603174604
AM,352,256.0
IN,192,3968.724358974359
NP,147,79.33333333333333
PL,43,1052.0933333333332
RW,80,3.0
PS,177,1.0
SC,127,2050.5
US,545,180.46153846153845
ZM,53,3537.1052631578946
PG,101,8.625
RU,68,1062.0823970037454
YT,161,1.0
RO,614,1.0
SA,107,6574.913043478261
US,1260,40.0
SG,308,65.0
TT,118,240.71428571428572
PE,113,468.65909090909093
PH,352,70.0
CR,80,919.375
EG,182,0.0
BY,229,686.0
LB,178,602.3333333333334
JP,1077,75.0
BF,127,231.0
ES,98,1528.8194444444443
GE,264,180.0
GH,25,5201.737430167598
BR,171,506.5098039215686
CY,30,592.1111111111111
KR,535,106.66666666666667
